user_id,amount,login_frequency,transaction_count,account_age,previous_flags
1,150.0,5,20,365,0
2,200.0,10,15,200,1
3,300.0,7,30,100,0
4,250.0,4,25,400,0
5,500.0,12,35,150,1
6,120.0,3,10,250,0
7,330.0,8,20,300,1
8,220.0,6,18,450,0
9,130.0,5,12,50,0
10,340.0,11,28,120,1
11,180.0,6,22,380,0
12,210.0,9,32,280,1
13,140.0,4,18,460,0
14,380.0,10,25,210,0
15,160.0,7,20,330,1
16,290.0,8,24,390,0
17,410.0,12,27,190,1
18,350.0,5,15,340,0
19,270.0,10,21,420,1
20,300.0,6,23,370,0
21,450.0,11,29,330,1
22,280.0,7,30,400,0
23,320.0,9,15,250,1
24,170.0,8,18,360,0
25,390.0,10,27,290,1
26,130.0,3,11,150,0
27,220.0,8,20,180,1
28,250.0,6,21,310,0
29,140.0,5,13,170,0
30,310.0,12,28,130,1
31,280.0,7,19,290,0
32,340.0,6,23,310,1
33,400.0,11,24,360,0
34,150.0,8,17,320,1
35,290.0,10,21,220,0
36,420.0,12,26,150,1
37,230.0,6,20,290,0
38,160.0,5,14,270,1
39,310.0,7,25,370,0
40,240.0,9,18,260,1
